"Report","url","pdfurl","Date","CountryCodeISO3"
"Country Focus","http://documents.worldbank.org/curated/en/2013/06/18620312/belarus-country-partnership-strategy-period-fy14-fy17","Belarus - Country partnership strategy for
            the period FY14-FY17","2013-06-13","BLR"
"Country Focus","http://documents.worldbank.org/curated/en/2016/02/25875161/belize-systematic-country-diagnostic","Belize - Systematic country diagnostic","2016-02-08","BLZ"
"Country Focus","http://documents.worldbank.org/curated/en/2011/05/14368777/central-african-republic-country-partnership-strategy-progress-report","Central African Republic - Country
            Partnership Strategy Progress Report","2011-07-19","CAF"
"Country Focus","http://documents.worldbank.org/curated/en/2012/09/16966277/congo-republic-country-partnership-strategy-period-fy13-fy16","Congo, Republic of - Country partnership
            strategy for the period FY13-FY16","2012-11-15","COG"
"Country Focus","http://documents.worldbank.org/curated/en/2015/10/25010664/cote-divoire-country-partnership-framework-period-fy2016-fy2019","Cote d'Ivoire - Country partnership
            framework for the period FY2016-FY2019","2015-10-14","CIV"
"Country Focus","http://documents.worldbank.org/curated/en/2015/01/23992059/chile-performance-learning-review-country-partnership-strategy-period-fy2011-16","Chile - Performance and learning review of
            the country partnership strategy for the period FY2011-16","2015-03-24","CHL"
"Country Focus,Country Focus","http://documents.worldbank.org/curated/en/2016/01/25778184/china-performance-learning-review-country-partnership-strategy-period-fy13-16","China - Performance and learning review of
            the country partnership strategy for the period FY13-16","2016-02-10","CHN"
"Country Focus","http://documents.worldbank.org/curated/en/2015/12/25707140/colombia-country-partnership-framework","Colombia - Country partnership framework","2015-12-21","COL"
"Country Focus","http://documents.worldbank.org/curated/en/2015/05/24447199/costa-rica-country-partnership-framework-period-fy2016-20","Costa Rica - Country partnership framework
            for the period FY2016-20","2015-05-28","CRI"
"Country Focus","http://documents.worldbank.org/curated/en/2014/11/23015032/cabo-verde-country-partnership-strategy-period-fy15-17","Cabo Verde - Country partnership strategy
            for the period FY15-17","2014-12-22","CPV"
"Country Focus","http://documents.worldbank.org/curated/en/2015/06/24575948/djibouti-country-partnership-strategy-period-fy2014-2017","Djibouti - Country partnership strategy for
            the period FY2014-2017","2015-06-01","DJI"
"Country Focus","http://documents.worldbank.org/curated/en/2014/10/20313419/dominican-republic-country-partnership-strategy-period-fy2015-18-república-dominicana-alianza-estratégica-con-el-país-para-el-período-de-fy0215-18","República Dominicana - Alianza estratégica
            con el país para el período de FY0215-18","2014-10-14","DOM"
"Country Focus","http://documents.worldbank.org/curated/en/2011/01/16648110/algeria-country-partnership-strategy-period-fy11-14","Algeria - Country partnership strategy for
            the period of FY11-14","2012-08-28","DZA"
"Country Focus","http://documents.worldbank.org/curated/en/2015/12/25486897/egypt-arab-republic-country-partnership-framework-period-fy2015-19","Egypt, Arab Republic of - Country
            partnership framework for the period FY2015-19","2015-12-21","EGY"
"Country Focus","http://documents.worldbank.org/curated/en/2012/08/16702735/ethiopia-country-partnership-strategy","Ethiopia - Country partnership strategy (FY2013-FY2016)","2012-09-26","ETH"
"Country Focus","http://documents.worldbank.org/curated/en/2014/04/19624065/micronesia-federated-states-country-partnership-strategy-period-fy2014-2017","Micronesia, Federated States of - Country
            partnership strategy for the period FY2014-2017","2014-06-05","FSM"
"Country Focus","http://documents.worldbank.org/curated/en/2012/02/15931935/gabon-country-partnership-strategy-period-fy2012-fy2016","Gabon - Country partnership strategy for the
            period FY2012-FY2016","2012-04-10","GAB"
"Country Focus","http://documents.worldbank.org/curated/en/2014/04/19402109/georgia-country-partnership-strategy-fy2014-fy2017","Georgia - Country partnership strategy for FY2014-FY2017","2014-05-12","GEO"
"Country Focus","http://documents.worldbank.org/curated/en/2013/03/17599325/gambia-second-joint-partnership-strategy-fy-2013-2016","Gambia - Second joint partnership strategy
            for FY 2013-2016","2013-04-26","GMB"
"Country Focus","http://documents.worldbank.org/curated/en/2015/09/24841736/guinea-performance-learning-review-country-partnership-strategy-period-fy14-fy17","Guinea - Performance and learning review of
            the country partnership strategy for the period FY14-FY17","2015-09-02","GIN"
"Country Focus","http://documents.worldbank.org/curated/en/2015/10/25047622/guatemala-country-partnership-strategy-cps-period-fy2013-2016","Guatemala - Country Partnership Strategy
            (CPS) for the period FY2013-2016","2015-10-14","GTM"
"Country Focus","http://documents.worldbank.org/curated/en/2015/12/25480989/honduras-country-partnership-framework-period-fy16-fy20","Honduras - Country partnership framework for
            the period FY16 - FY20","2015-12-22","HND"
"Country Focus","http://documents.worldbank.org/curated/en/2013/06/17816601/croatia-country-partnership-strategy-period-fy14-17","Croatia - Country partnership strategy for
            the period FY14-17","2013-07-15","HRV"
"Country Focus","http://documents.worldbank.org/curated/en/2015/09/25017143/haiti-toward-new-narrative-systematic-country-diagnostic","Haiti - Toward a new narrative : systematic
            country diagnostic","2015-09-09","HTI"
"Country Focus","http://documents.worldbank.org/curated/en/2015/12/25256041/indonesia-country-partnership-framework-period-fy16-20","Indonesia - Country partnership framework
            for the period FY16 - 20","2015-12-01","IDN"
"Country Focus","http://documents.worldbank.org/curated/en/2015/10/24995869/performance-learning-review-country-partnership-strategy-india-period-fy2013-17","Performance and learning review of the
            country partnership strategy for India for the period FY2013
            - 17","2015-10-21","IND"
"Country Focus","http://documents.worldbank.org/curated/en/2015/07/24481325/iraq-performance-learning-review-country-partnership-strategy-period-fy13-fy16","Iraq - Performance and learning review of
            the country partnership strategy for the period FY13-FY16","2015-07-07","IRQ"
