"CountryCode","Period","ProductCode","TradeValue","Quantity","QuantityUnit","ProductDescription"
"BEL",2014,"UNCTAD-SoP4",77335168.384,NA,"N.Q.","Capital goods"
"BEN",2013,"UNCTAD-SoP1",383382.565,NA,"N.Q.","Raw materials"
"BEN",2013,"UNCTAD-SoP2",604616.94,NA,"N.Q.","Intermediate goods"
"BEN",2013,"UNCTAD-SoP3",1463246.961,NA,"N.Q.","Consumer goods"
"BEN",2013,"UNCTAD-SoP4",478489.308,NA,"N.Q.","Capital goods"
"BEN",2014,"UNCTAD-SoP1",474353.146,NA,"N.Q.","Raw materials"
"BEN",2014,"UNCTAD-SoP2",565470.162,NA,"N.Q.","Intermediate goods"
"BEN",2014,"UNCTAD-SoP3",1962904.879,NA,"N.Q.","Consumer goods"
"BEN",2014,"UNCTAD-SoP4",582993.641,NA,"N.Q.","Capital goods"
"BFA",2013,"UNCTAD-SoP1",77784.039,NA,"N.Q.","Raw materials"
"BFA",2013,"UNCTAD-SoP2",891052,NA,"N.Q.","Intermediate goods"
"BFA",2013,"UNCTAD-SoP3",2333231.945,NA,"N.Q.","Consumer goods"
"BFA",2013,"UNCTAD-SoP4",1052603.064,NA,"N.Q.","Capital goods"
"BFA",2014,"UNCTAD-SoP1",75034.019,NA,"N.Q.","Raw materials"
"BFA",2014,"UNCTAD-SoP2",783064.637,NA,"N.Q.","Intermediate goods"
"BFA",2014,"UNCTAD-SoP3",2060619.353,NA,"N.Q.","Consumer goods"
"BFA",2014,"UNCTAD-SoP4",646336.253,NA,"N.Q.","Capital goods"
"BGR",2013,"UNCTAD-SoP1",8624936.792,NA,"N.Q.","Raw materials"
"BGR",2013,"UNCTAD-SoP2",7531581.333,NA,"N.Q.","Intermediate goods"
"BGR",2013,"UNCTAD-SoP3",10410186.584,NA,"N.Q.","Consumer goods"
"BGR",2013,"UNCTAD-SoP4",6277675.125,NA,"N.Q.","Capital goods"
"BGR",2014,"UNCTAD-SoP1",7441383.079,NA,"N.Q.","Raw materials"
"BGR",2014,"UNCTAD-SoP2",8328111.049,NA,"N.Q.","Intermediate goods"
"BGR",2014,"UNCTAD-SoP3",10606990.473,NA,"N.Q.","Consumer goods"
"BGR",2014,"UNCTAD-SoP4",6578915.303,NA,"N.Q.","Capital goods"
"BHR",2013,"UNCTAD-SoP1",9688937.707,NA,"N.Q.","Raw materials"
"BHR",2013,"UNCTAD-SoP2",2151443.22,NA,"N.Q.","Intermediate goods"
"BHR",2013,"UNCTAD-SoP3",4444985.428,NA,"N.Q.","Consumer goods"
"BHR",2013,"UNCTAD-SoP4",2218264.018,NA,"N.Q.","Capital goods"
"BHR",2014,"UNCTAD-SoP1",9418310.348,NA,"N.Q.","Raw materials"
"BHR",2014,"UNCTAD-SoP2",2694277.59,NA,"N.Q.","Intermediate goods"
"BHR",2014,"UNCTAD-SoP3",5274288.308,NA,"N.Q.","Consumer goods"
"BHR",2014,"UNCTAD-SoP4",2582721.942,NA,"N.Q.","Capital goods"
"BHS",2013,"UNCTAD-SoP1",253495.357,392432,"Item","Raw materials"
