"CountryCode","Period","ProductCode","TradeValue","Quantity","QuantityUnit","ProductDescription"
"JOR",2013,7478,135.426,23468,"Kg","Taps, cocks, valves & similar appli"
"JOR",2013,6299,135.28,33336,"Kg","Hard rubber; articles of hardened r"
"JOR",2013,7271,133.862,NA,"N.Q.","Machinery used in the milling indus"
"JOR",2013,6589,133.187,52291,"Kg","Made-up articles of textile materia"
"JOR",2013,5238,129.271,254892,"Kg","Other metal salts and peroxysalts o"
"JOR",2013,5912,128.195,15102,"Kg","Fungicides put up in forms/packings"
"JOR",2013,8943,122.921,NA,"N.Q.","Articles for funfair, table or parl"
"JOR",2013,7439,121.417,27440,"Kg","Parts of the machines and apparatus"
"JOR",2013,2322,120.747,472730,"Kg","Reclaimed rubber; waste and scrap o"
"JOR",2013,5114,118.833,129000,"Kg","Sulphonated, nitrated/nitrosated de"
"JOR",2013,6713,117.899,97925,"Kg","Granules and powders, of pig-iron, "
"JOR",2013,121,117.106,33044,"Kg","Meat of sheep or goats, fresh, chil"
"JOR",2013,711,117.035,10948,"Kg","Coffee, not roasted, whether or not"
"JOR",2013,6565,115.872,6941,"Kg","Embroidery in the piece, in strips "
"JOR",2013,6715,114.232,89051,"Kg","Other ferro-alloys (excluding radio"
"JOR",2013,589,113.187,105315,"Kg","Fruit, nuts and other edible parts "
"JOR",2013,6951,112.424,112060,"Kg","Hand tools, the following: spades, "
"JOR",2013,5731,111.844,68875,"Kg","Polyvinyl chloride"
"JOR",2013,7482,109.722,NA,"N.Q.","Bearing housings and plain shaft be"
"JOR",2013,1121,109.566,NA,"N.Q.","Wine of fresh grapes (including for"
"JOR",2013,6213,106.656,52832,"Kg","Vulcanized rubber thread and cord; "
"JOR",2013,7244,106.418,NA,"N.Q.","Machines for extruding, drawing, te"
"JOR",2013,7861,101.408,7,"Item","Trailers & semi-trailers of the car"
"JOR",2013,8513,98.742,NA,"N.Q.","Footwear, n.e.s., with outer soles "
"JOR",2013,7868,96.428,NA,"N.Q.","Other vehicles, not mechanically pr"
"JOR",2013,6763,95.916,113500,"Kg","Bars and rods of iron or steel, not"
"JOR",2013,5754,93.711,78800,"Kg","Amino resins, phenolic resins and p"
"JOR",2013,5984,91.725,49650,"Kg","Mixed alkylbenzenes & mixed alkylna"
"JOR",2013,731,91.036,10648,"Kg","Cocoa powder containing added sugar"
"JOR",2013,5534,90.075,26024,"Kg","Preparations for oral/dental hygien"
"JOR",2013,7449,89.029,42092,"Kg","Parts suitable for use solely or pr"
"JOR",2013,8425,88.546,4424,"Item","Skirts & divided skirts, women's/gi"
"JOR",2013,8442,87.881,9169,"Item","Suits, ensembles, jackets, blazers,"
"JOR",2013,546,87.604,94896,"Kg","Vegetables (uncooked or cooked by s"
"JOR",2013,6764,84.558,76255,"Kg","Other bars and rods of iron and ste"
"JOR",2013,6591,84.442,33843,"Area  SM","Linoleum, whether/not cut to shape;"
"JOR",2013,5137,83.024,58000,"Kg","Monocarboxylic acids and their anhy"
"JOR",2013,5839,80.531,41010,"Kg","Monofilament of other plastic of wh"
"JOR",2013,6641,80.425,1998610,"Kg","Glass in the mass, in balls, rods o"
"JOR",2013,6659,79.927,201101,"Kg","Articles made of glass, n.e.s."
"JOR",2013,741,77.866,7899,"Kg","Tea, whether or not flavoured"
"JOR",2013,7787,75.418,NA,"N.Q.","Electrical machines and apparatus, "
"JOR",2013,5122,74.631,13494,"Kg","Other acyclic alcohols, and the hal"
"JOR",2013,2785,72.393,95978,"Kg","Quartz, mica, feldspar, fluorspar, "
"JOR",2013,483,72.371,79500,"Kg","Macaroni, spaghetti & similar produ"
"JOR",2013,5249,71.28,18426,"Kg","Inorganic and organic chemical prod"
"JOR",2013,6512,70.501,5081,"Kg","Cotton sewing thread, whether or no"
"JOR",2013,6575,70.378,46205,"Kg","Twine, cordage, ropes and cables an"
"JOR",2013,7519,68.049,NA,"N.Q.","Other office machines (e.g., hectog"
"JOR",2013,241,67.148,19145,"Kg","Grated/powdered cheese, of all kind"
"JOR",2013,7417,63.211,NA,"N.Q.","Gas generators, distilling or recti"
"JOR",2013,7233,62.351,NA,"N.Q.","Moving, grading, levelling, scrapin"
"JOR",2013,5234,62.146,136150,"Kg","Sulphides, polysulphides, dithionit"
"JOR",2013,2875,59.175,857690,"Kg","Zinc ores & concentrates"
"JOR",2013,7443,58.901,NA,"N.Q.","Ships' derricks; cranes (including "
"JOR",2013,8456,57.428,3624,"Item","Swimwear"
"JOR",2013,5422,57.363,4003,"Kg","Medicaments containing hormones or "
"JOR",2013,6956,56.95,25600,"Kg","Knives and cutting blades, for mach"
"JOR",2013,7189,56.361,NA,"N.Q.","Engines and motors, n.e.s. (e.g., w"
"JOR",2013,7471,55.969,4084,"Kg","Pressure-reducing valves"
"JOR",2013,7423,55.504,1,"Item","Concrete pumps"
"JOR",2013,4211,55.099,33914,"Kg","Soya bean oil and its fractions"
"JOR",2013,8121,54.282,7720,"Kg","Boilers (other than those of group "
"JOR",2013,7447,54.225,3,"Item","Continuous-action elevators and con"
"JOR",2013,548,54.04,14312,"Kg","Vegetable products, roots and tuber"
"JOR",2013,6899,53.033,27985,"Kg","Base metals, n.e.s., and cermets, a"
"JOR",2013,2450,51.883,176200,"Kg","Fuel wood (excluding wood waste) an"
"JOR",2013,8132,51.566,2338,"Kg","Illuminated signs, illuminated name"
"JOR",2013,6757,50.95,91480,"Kg","Flat-rolled products of alloy steel"
"JOR",2013,5155,50.16,19470,"Kg","Other organo-inorganic compounds"
"JOR",2013,7138,50.077,NA,"N.Q.","Internal combustion piston engines,"
"JOR",2013,8999,50.047,65307,"Kg","Manufactured goods, n.e.s."
"JOR",2013,8422,49.006,NA,"N.Q.","Suits and ensembles"
"JOR",2013,5832,48.939,19627,"Kg","Monofilament,vinyl chloride, of whi"
"JOR",2013,2782,47.159,1969975,"Kg","Clays and other refractory minerals"
"JOR",2013,7786,45.916,15000,"Kg","Electrical capacitors, fixed, varia"
"JOR",2013,4215,45.45,23924,"Kg","Sunflower seed or safflower oil and"
"JOR",2013,6415,44.812,10762,"Kg","Paper and paperboard, uncoated, in "
"JOR",2013,7331,43.772,NA,"N.Q.","Machine tools (including presses) f"
"JOR",2013,8312,43.711,NA,"N.Q.","Trunks, suitcases, vanity cases, ex"
"JOR",2013,7461,43.276,NA,"N.Q.","Ball-bearings"
"JOR",2013,5111,42.996,27580,"Kg","Acyclic hydrocarbons"
"JOR",2013,3354,41.99,52898,"Kg","Petroleum bitumen, petroleum coke a"
"JOR",2013,8742,41.55,NA,"N.Q.","Drawing, marking-out or mathematica"
"JOR",2013,7732,41.523,27218,"Kg","Electrical insulating equipment"
"JOR",2013,2929,40.488,134538,"Kg","Materials of vegetable origin, n.e."
"JOR",2013,6932,40.123,40362,"Kg","Barbed wire of iron/steel; twisted "
"JOR",2013,6535,39.934,12461,"Kg","Fabrics, woven, of artificial filam"
"JOR",2013,7434,39.651,NA,"N.Q.","Fans and cooker hoods incorporating"
"JOR",2013,6515,39.584,16730,"Kg","Synthetic filament yarn (other than"
"JOR",2013,6941,39.55,40000,"Kg","Nails, tacks, drawing-pins, corruga"
"JOR",2013,8131,39.541,13799,"Kg","Lamps and lighting fittings (includ"
"JOR",2013,8745,37.863,NA,"N.Q.","Measuring, controlling and scientif"
"JOR",2013,6579,37.569,5860,"Kg","Special products of textile materia"
"JOR",2013,8724,37.487,3806,"Kg","Medical, dental, surgical/veterinar"
"JOR",2013,615,37.448,15000,"Kg","Molasses resulting from the extract"
"JOR",2013,6585,37.391,14747,"Kg","Curtains and other furnishing artic"
"JOR",2013,6519,36.806,12475,"Kg","Yarn of textile fibres, n.e.s. (inc"
"JOR",2013,722,36.225,14176,"Kg","Cocoa powder not containing added s"
"JOR",2013,6754,35.95,50000,"Kg","Flat-rolled products of other alloy"
"JOR",2013,6782,35.949,10800,"Kg","Wire of stainless steel or other al"
"JOR",2013,2484,35.61,62,"m�","Wood of non-coniferous species spec"
"JOR",2013,8961,34.606,NA,"N.Q.","Paintings, drawings and pastels, ex"
"JOR",2013,7522,34.536,65,"Item","Portable automatic data processing "
"JOR",2013,6517,33.952,25000,"Kg","Artificial and man-made filament ya"
"JOR",2013,6342,33.851,45098,"Kg","Densified wood and particle board, "
"JOR",2013,5752,33.298,16700,"Kg","Acrylic polymers"
"JOR",2013,6571,33.179,30030,"Kg","Felt, whether or not impregnated, c"
"JOR",2013,7247,33.112,NA,"N.Q.","Machinery (other than machines of s"
"JOR",2013,7316,33.025,NA,"N.Q.","Machine tools for deburring, sharpe"
"JOR",2013,593,32.768,58019,"Kg","Juice of any other single citrus fr"
"JOR",2013,813,32.746,9675,"Kg","Oil-cake and other solid residues ("
"JOR",2013,6637,29.913,1003,"Kg","Refractory ceramic goods (e.g., ret"
"JOR",2013,6631,29.159,29025,"Kg","Millstones, grindstones, grinding w"
"JOR",2013,5259,28.896,76000,"Kg","Stable isotopes and their compounds"
"JOR",2013,542,28.821,64720,"Kg","Leguminous vegetables, dried, shell"
"JOR",2013,8944,28.543,126,"Kg","Festive, carnival or other entertai"
"JOR",2013,4222,27.91,25001,"Kg","Palm oil and its fractions"
"JOR",2013,7282,26.042,NA,"N.Q.","Machines and apparatus of a kind us"
"JOR",2013,6743,25.846,11029,"Kg","Flat-rolled products of iron or non"
"JOR",2013,8313,25.464,NA,"N.Q.","Travel sets for personal toilet, se"
"JOR",2013,7266,25.436,NA,"N.Q.","Other printing machinery"
"JOR",2013,7479,23.48,1615,"Kg","Parts for the appliances of group 7"
"JOR",2013,8428,22.825,NA,"N.Q.","Singlets and other vests, slips, pe"
"JOR",2013,6611,22.817,120000,"Kg","Quicklime, slaked lime and hydrauli"
"JOR",2013,7648,22.569,NA,"N.Q.","Telecommunications equipment, n.e.s"
"JOR",2013,3330,21.552,1800,"Kg","Crude petroleum"
"JOR",2013,6827,20.728,2577,"Kg","Copper tubes, pipes and tube or pip"
"JOR",2013,7312,20.667,NA,"N.Q.","Machining centres, unit constructio"
"JOR",2013,6891,20.354,11450,"Kg","Tungsten (wolfram), molybdenum, tan"
"JOR",2013,2681,20.337,203640,"Kg","Wool, greasy (including fleece-wash"
"JOR",2013,168,20.262,18460,"Kg","Meat and edible meat offal, other t"
"JOR",2013,7757,19.29,506,"Item","Electromechanical domestic applianc"
"JOR",2013,7435,19.162,NA,"N.Q.","Centrifuges (including centrifugal "
"JOR",2013,6349,18.794,9800,"Kg","Wood, simply shaped, n.e.s."
"JOR",2013,8946,17.972,10503,"Kg","Roundabouts, swings, shooting galle"
"JOR",2013,7429,16.831,600,"Kg","Parts of the pumps and liquid eleva"
"JOR",2013,2927,16.714,9045,"Kg","Cut flowers and foliage"
"JOR",2013,7131,15.684,NA,"N.Q.","Internal combustion piston engines "
"JOR",2013,6651,15.495,13315,"Kg","Containers, of glass, of a kind use"
"JOR",2013,6966,15.282,13000,"Kg","Spoons, forks, ladles, skimmers, ca"
"JOR",2013,2772,15.237,111001,"Kg","Natural abrasives, n.e.s."
"JOR",2013,5163,15.161,147000,"Kg","Esters of inorganic acids of non-me"
"JOR",2013,811,14.507,94000,"Kg","Hay and fodder, green or dry"
"JOR",2013,6964,14.377,13000,"Kg","Scissors, tailors' shears & similar"
"JOR",2013,6635,14.366,37486,"Kg","Slag-wool, rock-wool and similar mi"
"JOR",2013,8947,14.081,9680,"Kg","Sports goods"
"JOR",2013,7212,13.886,NA,"N.Q.","Harvesting or threshing machinery ("
"JOR",2013,8481,13.512,330,"Kg","Articles of apparel and clothing ac"
"JOR",2013,6549,13.237,72065,"Kg","Fabrics, woven, n.e.s."
"JOR",2013,616,13.183,2266,"Kg","Natural honey"
"JOR",2013,8922,12.874,2317,"Kg","Newspapers, journals and periodical"
"JOR",2013,7412,12.831,307,"Kg","Furnace burners for liquid fuel, fo"
"JOR",2013,5413,11.884,20000,"Kg","Antibiotics, not put up as medicame"
"JOR",2013,7459,11.62,7,"Item","Other non-electrical machines and p"
"JOR",2013,8991,11.268,12000,"Kg","Articles and manufactures of carvin"
"JOR",2013,6292,11.186,1380,"Kg","Conveyor or transmission belts or b"
"JOR",2013,2651,10.756,153700,"Kg","Flax, raw or processed but not spun"
"JOR",2013,6551,10.59,3476,"Kg","Pile fabrics (including long pile f"
"JOR",2013,6112,10.454,8602,"Kg","Composition leather with a basis of"
"JOR",2013,8962,10.056,NA,"N.Q.","Original engravings, prints & litho"
"JOR",2013,5739,9.986,20000,"Kg","Other vinyl chloride copolymers and"
